text	label
In summary, we have shown that one can describe the experimental data of the HERMES Collaboration for hadron attenuation on nuclei without invoking any changes in the fragmentation function due to gluon radiation.	1
In our dynamical studies, that include the most relevant FSI, we employ only the ‘free’ fragmentation function on a nucleon and attribute the hadron attenuation to the deceleration of the produced (pre-)hadrons due to FSI in the surrounding medium.	1
We find that in particular the z-dependence of RMh is very sensitive to the interaction cross section of leading prehadrons and can be used to determine σlead.	1
The interaction of the leading prehadrons during the formation time could be interpreted as an in-medium change of the fragmentation function, which however could not be given in a closed form.	1
The extracted average hadron formation times of τf≳0.3 fm/c are compatible with the analysis of antiproton attenuation in p+A reactions at AGS energies [17].	1
In an upcoming work we will investigate in detail the spectra for different particle species (π±,K±,p,p̄) to examine, if the formation times of mesons and antibaryons are about equal.	1
In addition we will improve our model to describe the primary photon–nucleon reaction below the PYTHIA threshold of W⩾4 GeV.	1
Though, in this Letter we have constructed the Born–Infeld black holes in the presence of a cosmological constant and discussed their thermodynamical properties, many issues however still remain to be investigated.	1
We know that Reissner–Nordström AdS black holes undergo Hawking–Page phase transition.	1
This transition gets modified as we include Born–Infeld corrections into account.	1
Furthermore, in the context of brane world cosmology, it was found that a brane moving in a Reissner–Nordström AdS background generates non-singular cosmology [14].	1
However, as shown in [15], the brane always crosses the inner horizon of the bulk geometry, creating an instability.	1
It would be interesting to study cosmology on the brane when it is moving in the charged black hole backgrounds that we have constructed.	1
Note that since these charged holes does not have inner horizon for certain range of parameters, we may generate non-singular cosmology without creating the instabilities that we have just mentioned.	1
Geomagnetic jerks are conspicuous yet poorly understood phenomena of Earth’s magnetic field, motivating investigations of their morphology and the theory behind their origins.	1
Jerks are most commonly defined by their observed form at a single observatory as ‘V’ shapes in a single component of the geomagnetic secular variation (SV), the first time derivative of the main magnetic field (MF).	1
The times of the gradient changes, which separate linear trends of several years, have associated step changes in the second time derivative of the MF (secular acceleration (SA)) and impulses in the third time derivative.	1
The ‘V’ shape SV definition of jerks includes an implicit expectation of a ‘large’ magnitude step change in the gradient without definition of this scale or its threshold value other than the basic need for it to be observable in the data above the highly variable background noise.	1
